"category_name","price_range","total_amount","volume_of_orders"
Beverages,"1. Below $20",102945,317
Beverages,"2. $20 - $50",23527,28
Beverages,"3. Over $50",141397,24
Condiments,"1. Below $20",27299,85
Condiments,"2. $20 - $50",78748,121
Confections,"1. Below $20",53365,197
Confections,"2. $20 - $50",91429,106
Confections,"3. Over $50",22563,16
Dairy Products,"1. Below $20",16569,81
Dairy Products,"2. $20 - $50",146783,204
Dairy Products,"3. Over $50",71156,54
Grains/Cereals,"1. Below $20",24071,99
Grains/Cereals,"2. $20 - $50",71673,91
Meat/Poultry,"1. Below $20",4728,36
Meat/Poultry,"2. $20 - $50",70699,96
Meat/Poultry,"3. Over $50",87595,36
Produce,"1. Below $20",2432,13
Produce,"2. $20 - $50",55732,81
Produce,"3. Over $50",41820,39
Seafood,"1. Below $20",65110,217
Seafood,"2. $20 - $50",36980,70
Seafood,"3. Over $50",29172,27
